city,lat,lng,population,density
San Ramon,37.7624,-121.9365,81344,1680
Cranston,41.7658,-71.4858,81252,1106
Somerville,42.3908,-71.1014,81175,7602
Silver Spring,39.0028,-77.0207,81069,3970
Warwick,41.7062,-71.4334,81043,894
Joplin,37.0757,-94.5018,81025,512
Farmington Hills,42.486,-83.3771,80937,939
Auburn,47.3039,-122.2108,80914,1056
Deerfield Beach,26.305,-80.1277,80822,2087
Tustin,33.7311,-117.8107,80815,2795
Franklin,35.92,-86.8516,80675,728
Anderson,34.5211,-82.6478,80657,730
Lebanon,40.3412,-76.4228,80620,2388
Springdale,36.1901,-94.1574,80433,660
Yauco,18.0344,-66.8615,80307,2064
Madera,36.963,-120.0778,80218,1536
Brooklyn Park,45.1112,-93.3505,80173,1187
Mountain View,37.4001,-122.0796,80104,2586
Lawrence,42.7002,-71.1626,80022,4458
Pleasanton,37.6663,-121.8805,79975,1279
Alameda,37.7668,-122.267,79827,2949
Zephyrhills,28.2409,-82.1797,79795,652
Lakewood,33.8471,-118.1222,79676,3272
Flagstaff,35.1872,-111.6194,79624,428
Florence,34.8303,-87.6655,79590,591
Folsom,38.6668,-121.1422,79584,1102
New Rochelle,40.9304,-73.7836,79367,2979
St. Joseph,39.7598,-94.821,79349,660
Texarkana,33.45,-94.0847,79304,452
Plymouth,45.0225,-93.4617,78879,931
Flower Mound,33.0343,-97.1146,78854,725
Valdosta,30.8502,-83.2788,78786,604
Pharr,26.1685,-98.1904,78689,1285
Parma,41.3843,-81.7286,78623,1516
Newark,40.0706,-82.425,78447,923
Elizabethtown,37.7031,-85.8773,78446,428
Davis,38.5553,-121.737,78431,2657
St. Augustine,29.8976,-81.31,78386,610
Boynton Beach,26.5281,-80.0811,78060,1865
Perris,33.7898,-117.2233,77708,951
Anniston,33.6712,-85.8135,77690,181
Sumter,33.9392,-80.393,77626,470
Upland,34.1178,-117.6604,77348,1916
Layton,41.077,-111.962,77268,1326
Kendall,25.6697,-80.3556,77228,1852
Morgantown,39.6383,-79.9464,77193,1172
Cedar Park,30.5105,-97.8197,77181,1168
Auburn,32.6087,-85.4903,76793,417
Camarillo,34.223,-119.0321,76751,1345
Cheyenne,41.135,-104.7902,76456,767
Bellflower,33.888,-118.1271,76339,4818
